,dest_node,source_node,weight,source_class,dest_class,edge_class
0,OMIM102300,OMIM102100,0.10395,Di,Di,Di-Di
1,OMIM102400,OMIM102100,0.29165,Di,Di,Di-Di
2,OMIM102400,OMIM102300,0.18205,Di,Di,Di-Di
3,OMIM102500,OMIM102100,0.28702,Di,Di,Di-Di
4,OMIM102500,OMIM102300,0.10492,Di,Di,Di-Di
5,OMIM102500,OMIM102400,0.31504,Di,Di,Di-Di
6,OMIM103100,OMIM102100,0.14587,Di,Di,Di-Di
7,OMIM103100,OMIM102300,0.082231,Di,Di,Di-Di
8,OMIM103100,OMIM102400,0.024559,Di,Di,Di-Di
9,OMIM103100,OMIM102500,0.11842000000000001,Di,Di,Di-Di
10,OMIM103780,OMIM102100,0.024705,Di,Di,Di-Di
11,OMIM103780,OMIM102300,0.17499,Di,Di,Di-Di
12,OMIM103780,OMIM102500,0.11197,Di,Di,Di-Di
13,OMIM103780,OMIM103100,0.094739,Di,Di,Di-Di
14,OMIM104130,OMIM102100,0.12809,Di,Di,Di-Di
15,OMIM104130,OMIM102300,0.12907000000000002,Di,Di,Di-Di
16,OMIM104130,OMIM102500,0.27043,Di,Di,Di-Di
17,OMIM104130,OMIM103100,0.14548,Di,Di,Di-Di
18,OMIM104130,OMIM103780,0.13427,Di,Di,Di-Di
19,OMIM104300,OMIM102100,0.10928,Di,Di,Di-Di
20,OMIM104300,OMIM102300,0.10269,Di,Di,Di-Di
21,OMIM104300,OMIM102400,0.039557999999999996,Di,Di,Di-Di
22,OMIM104300,OMIM102500,0.14941,Di,Di,Di-Di
23,OMIM104300,OMIM103100,0.094209,Di,Di,Di-Di
24,OMIM104300,OMIM103780,0.25049,Di,Di,Di-Di
25,OMIM104300,OMIM104130,0.20078,Di,Di,Di-Di
26,OMIM106400,OMIM102100,0.18175,Di,Di,Di-Di
27,OMIM106400,OMIM102400,0.24624000000000001,Di,Di,Di-Di
28,OMIM106400,OMIM102500,0.18018,Di,Di,Di-Di
29,OMIM106400,OMIM103100,0.06055,Di,Di,Di-Di
30,OMIM106400,OMIM104130,0.11675999999999999,Di,Di,Di-Di
31,OMIM106400,OMIM104300,0.047830000000000004,Di,Di,Di-Di
32,OMIM107320,OMIM102100,0.07194500000000001,Di,Di,Di-Di
33,OMIM107320,OMIM102300,0.06701499999999999,Di,Di,Di-Di
34,OMIM107320,OMIM102400,0.094871,Di,Di,Di-Di
35,OMIM107320,OMIM102500,0.20443,Di,Di,Di-Di
36,OMIM107320,OMIM103100,0.094941,Di,Di,Di-Di
37,OMIM107320,OMIM103780,0.14389000000000002,Di,Di,Di-Di
38,OMIM107320,OMIM104130,0.10138,Di,Di,Di-Di
39,OMIM107320,OMIM104300,0.21527,Di,Di,Di-Di
40,OMIM107320,OMIM106400,0.14875,Di,Di,Di-Di
41,OMIM107550,OMIM102100,0.2402,Di,Di,Di-Di
42,OMIM107550,OMIM102400,0.030786,Di,Di,Di-Di
43,OMIM107550,OMIM102500,0.13965999999999998,Di,Di,Di-Di
44,OMIM107550,OMIM103100,0.17521,Di,Di,Di-Di
45,OMIM107550,OMIM103780,0.030057999999999998,Di,Di,Di-Di
46,OMIM107550,OMIM104130,0.24220999999999998,Di,Di,Di-Di
47,OMIM107550,OMIM104300,0.16619,Di,Di,Di-Di
48,OMIM107550,OMIM106400,0.12094,Di,Di,Di-Di
49,OMIM107550,OMIM107320,0.051489,Di,Di,Di-Di
50,OMIM107650,OMIM102100,0.20926,Di,Di,Di-Di
51,OMIM107650,OMIM102300,0.12300000000000001,Di,Di,Di-Di
52,OMIM107650,OMIM102400,0.082011,Di,Di,Di-Di
53,OMIM107650,OMIM102500,0.20045,Di,Di,Di-Di
54,OMIM107650,OMIM103100,0.14949,Di,Di,Di-Di
55,OMIM107650,OMIM103780,0.14022,Di,Di,Di-Di
56,OMIM107650,OMIM104130,0.18862,Di,Di,Di-Di
57,OMIM107650,OMIM104300,0.22084,Di,Di,Di-Di
58,OMIM107650,OMIM106400,0.067051,Di,Di,Di-Di
59,OMIM107650,OMIM107320,0.15055,Di,Di,Di-Di
60,OMIM107650,OMIM107550,0.10652,Di,Di,Di-Di
61,OMIM109100,OMIM102100,0.044219,Di,Di,Di-Di
62,OMIM109100,OMIM102300,0.052341,Di,Di,Di-Di
63,OMIM109100,OMIM102400,0.08529099999999999,Di,Di,Di-Di
64,OMIM109100,OMIM102500,0.14269,Di,Di,Di-Di
65,OMIM109100,OMIM103100,0.063842,Di,Di,Di-Di
66,OMIM109100,OMIM103780,0.14997,Di,Di,Di-Di
67,OMIM109100,OMIM104130,0.11165,Di,Di,Di-Di
68,OMIM109100,OMIM104300,0.16599,Di,Di,Di-Di
69,OMIM109100,OMIM106400,0.1301,Di,Di,Di-Di
70,OMIM109100,OMIM107320,0.32456999999999997,Di,Di,Di-Di
71,OMIM109100,OMIM107550,0.067452,Di,Di,Di-Di
72,OMIM109100,OMIM107650,0.09412999999999999,Di,Di,Di-Di
73,OMIM109200,OMIM102100,0.056733000000000006,Di,Di,Di-Di
74,OMIM109200,OMIM102500,0.19024000000000002,Di,Di,Di-Di
75,OMIM109200,OMIM103100,0.10614000000000001,Di,Di,Di-Di
76,OMIM109200,OMIM103780,0.059162,Di,Di,Di-Di
77,OMIM109200,OMIM104130,0.32858000000000004,Di,Di,Di-Di
78,OMIM109200,OMIM104300,0.069117,Di,Di,Di-Di
79,OMIM109200,OMIM106400,0.1074,Di,Di,Di-Di
80,OMIM109200,OMIM107320,0.047998,Di,Di,Di-Di
81,OMIM109200,OMIM107550,0.10198,Di,Di,Di-Di
82,OMIM109200,OMIM107650,0.019443000000000002,Di,Di,Di-Di
83,OMIM109200,OMIM109100,0.11614000000000001,Di,Di,Di-Di
84,OMIM109350,OMIM102400,0.054585,Di,Di,Di-Di
85,OMIM109350,OMIM102500,0.067182,Di,Di,Di-Di
86,OMIM109350,OMIM103100,0.024265000000000002,Di,Di,Di-Di
87,OMIM109350,OMIM103780,0.025185,Di,Di,Di-Di
88,OMIM109350,OMIM104130,0.08829,Di,Di,Di-Di
89,OMIM109350,OMIM104300,0.062503,Di,Di,Di-Di
90,OMIM109350,OMIM107550,0.061167,Di,Di,Di-Di
91,OMIM109350,OMIM107650,0.034959,Di,Di,Di-Di
92,OMIM109350,OMIM109100,0.033983,Di,Di,Di-Di
93,OMIM109350,OMIM109200,0.028692000000000002,Di,Di,Di-Di
94,OMIM109543,OMIM102500,0.053395000000000005,Di,Di,Di-Di
95,OMIM109543,OMIM103100,0.074682,Di,Di,Di-Di
96,OMIM109543,OMIM104130,0.10503,Di,Di,Di-Di
97,OMIM109543,OMIM104300,0.091037,Di,Di,Di-Di
98,OMIM109543,OMIM107550,0.14517,Di,Di,Di-Di
99,OMIM109543,OMIM109200,0.088309,Di,Di,Di-Di
100,OMIM109543,OMIM109350,0.12303,Di,Di,Di-Di
101,OMIM109800,OMIM102100,0.045038,Di,Di,Di-Di
102,OMIM109800,OMIM102300,0.025038,Di,Di,Di-Di
103,OMIM109800,OMIM102400,0.068436,Di,Di,Di-Di
104,OMIM109800,OMIM102500,0.11575,Di,Di,Di-Di
105,OMIM109800,OMIM103100,0.024731,Di,Di,Di-Di
106,OMIM109800,OMIM103780,0.021334,Di,Di,Di-Di
107,OMIM109800,OMIM104130,0.041274,Di,Di,Di-Di
108,OMIM109800,OMIM104300,0.13044,Di,Di,Di-Di
109,OMIM109800,OMIM106400,0.027085,Di,Di,Di-Di
110,OMIM109800,OMIM107320,0.036842,Di,Di,Di-Di
111,OMIM109800,OMIM107550,0.08263200000000001,Di,Di,Di-Di
112,OMIM109800,OMIM107650,0.029939999999999998,Di,Di,Di-Di
113,OMIM109800,OMIM109100,0.009559999999999999,Di,Di,Di-Di
114,OMIM109800,OMIM109200,0.10089,Di,Di,Di-Di
115,OMIM109800,OMIM109350,0.14685,Di,Di,Di-Di
116,OMIM109800,OMIM109543,0.11807999999999999,Di,Di,Di-Di
117,OMIM110100,OMIM102100,0.22825,Di,Di,Di-Di
118,OMIM110100,OMIM102300,0.11358,Di,Di,Di-Di
119,OMIM110100,OMIM102400,0.18202000000000002,Di,Di,Di-Di
120,OMIM110100,OMIM102500,0.371,Di,Di,Di-Di
121,OMIM110100,OMIM103100,0.17289000000000002,Di,Di,Di-Di
122,OMIM110100,OMIM103780,0.11202000000000001,Di,Di,Di-Di
123,OMIM110100,OMIM104130,0.24752,Di,Di,Di-Di
124,OMIM110100,OMIM104300,0.18183,Di,Di,Di-Di
125,OMIM110100,OMIM106400,0.14353,Di,Di,Di-Di
126,OMIM110100,OMIM107320,0.11289,Di,Di,Di-Di
127,OMIM110100,OMIM107550,0.17223,Di,Di,Di-Di
128,OMIM110100,OMIM107650,0.16552999999999998,Di,Di,Di-Di
129,OMIM110100,OMIM109100,0.12509,Di,Di,Di-Di
130,OMIM110100,OMIM109200,0.35971,Di,Di,Di-Di
131,OMIM110100,OMIM109350,0.070112,Di,Di,Di-Di
132,OMIM110100,OMIM109543,0.043718,Di,Di,Di-Di
133,OMIM110100,OMIM109800,0.14868,Di,Di,Di-Di
134,OMIM113610,OMIM102100,0.077269,Di,Di,Di-Di
135,OMIM113610,OMIM102300,0.14856,Di,Di,Di-Di
136,OMIM113610,OMIM102400,0.047431,Di,Di,Di-Di
137,OMIM113610,OMIM102500,0.15552,Di,Di,Di-Di
138,OMIM113610,OMIM103100,0.13302,Di,Di,Di-Di
